participant,type,exp_cnt,test,conf,ans,real_ans,res,te_time,conf_time,total_time,,XO,OX,OO,XX,,
yebon,pre,4,5,3,2,2,1,28.17238188,2.958670139,513.1985431,,,,,,,
yebon,post,4,1,5,5,5,1,123.299932,2.873653889,0,OO,0,0,1,,1,
yebon,post,4,2,4,5,5,1,340.652226,1.744395018,0,OO,0,0,1,,1,
yebon,post,4,3,2,5,3,0,98.70120692,2.224136114,0,OX,0,1,,,1,
yebon,post,4,4,4,2,1,0,79.64329386,1.615871191,0,XX,0,0,0,1,1,
yebon,post,4,5,5,3,1,0,58.32721186,2.249515057,730.4055879,OX,0,1,,,1,
yebon,pre,5,1,3,4,2,0,34.68726707,1.436469078,0,,,,,,,
yebon,pre,5,2,1,2,1,0,74.42586398,2.13548398,0,,,,,,,
yebon,pre,5,3,1,4,5,0,79.19094205,2.382542849,0,,,,,,,
yebon,pre,5,4,1,2,3,0,137.645184,1.630368948,0,,,,,,,
yebon,pre,5,5,1,3,3,1,96.21879911,2.505568027,2328.113948,,,,,,,
yebon,post,5,1,1,3,1,0,79.02790713,2.515621901,0,XX,0,0,0,1,1,
yebon,post,5,2,5,4,4,1,49.16209602,2.199500084,0,XO,1,0,,,1,
yebon,post,5,3,4,5,5,1,42.03070903,2.28351593,0,XO,1,0,,,1,
yebon,post,5,4,3,3,4,0,80.2231729,1.81140995,0,XX,0,0,0,1,1,
yebon,post,5,5,3,4,4,1,38.65375614,1.606541872,428.786325,OO,0,0,1,,1,
,,,,,,,,,,,,56,16,55,23,150,
,,,,,,,,,,,,,,,150,,
